idItem,type,instance
227,translation_rev,Brutus Abel
228,transcription_rev,Alexandre Caroli
228,translation_rev,Alexandre Caroli
228,translation_rev,Brutus Abel
229,transcription_rev,Alexandre Caroli
229,translation_rev,Philippe Gilbert
230,transcription_rev,Brutus Abel
230,translation_rev,Brutus Abel
230,translation_rev,Alexandre Caroli
231,transcription_rev,Brutus Abel
231,translation_rev,Brutus Abel
231,translation_rev,Alexandre Caroli
232,transcription_rev,Brutus Abel
232,translation_rev,Brutus Abel
233,transcription_rev,Brutus Abel
233,translation_rev,Brutus Abel
233,translation_rev,Alexandre Caroli
234,transcription_rev,Brutus Abel
234,translation_rev,Brutus Abel
235,transcription_rev,Brutus Abel
235,translation_rev,Brutus Abel
236,transcription_rev,Philippe Gilbert
236,transcription_rev,Brutus Abel
236,translation_rev,Alexandre Caroli
236,translation_rev,Brutus Abel
237,transcription_rev,Brutus Abel
237,transcription_rev,Guilherme Padilha
237,translation_rev,Alexandre Caroli
237,translation_rev,Brutus Abel
237,translation_rev,Guilherme Padilha
238,transcription_rev,Brutus Abel
238,translation_rev,Brutus Abel
238,translation_rev,Charles Kempf
238,translation_rev,Alexandre Caroli
239,transcription_rev,Brutus Abel
239,translation_rev,Brutus Abel
239,translation_rev,Alexandre Caroli
240,transcription_rev,Brutus Abel
240,translation_rev,Brutus Abel
240,translation_rev,Alexandre Caroli
241,transcription_rev,Brutus Abel
241,translation_rev,Brutus Abel
241,translation_rev,Alexandre Caroli
242,transcription_rev,Brutus Abel
242,translation_rev,Brutus Abel
242,translation_rev,Alexandre Caroli
243,transcription_rev,Brutus Abel
243,translation_rev,Brutus Abel
243,translation_rev,Alexandre Caroli
244,transcription_rev,Brutus Abel
244,translation_rev,Alexandre Caroli
245,transcription_rev,Brutus Abel
245,translation_rev,Brutus Abel
246,transcription_rev,Brutus Abel
246,translation_rev,Brutus Abel
246,translation_rev,Alexandre Caroli
247,transcription_rev,Brutus Abel
247,translation_rev,Alexandre Caroli
248,transcription_rev,Brutus Abel
248,transcription_rev,Jacques Peccatte
248,translation_rev,Alexandre Caroli
248,translation_rev,Brutus Abel
249,transcription_rev,Brutus Abel
249,transcription_rev,Jacques Peccatte
249,translation_rev,Alexandre Caroli
250,transcription_rev,Brutus Abel
250,transcription_rev,Jacques Peccatte
250,translation_rev,Alexandre Caroli
250,translation_rev,Brutus Abel
251,transcription_rev,Brutus Abel
251,transcription_rev,Jacques Peccatte
251,translation_rev,Alexandre Caroli
251,translation_rev,Brutus Abel
252,transcription_rev,Brutus Abel
252,transcription_rev,Jacques Peccatte
252,translation_rev,Alexandre Caroli
252,translation_rev,Brutus Abel
253,transcription_rev,Brutus Abel
253,transcription_rev,Jacques Peccatte
253,translation_rev,Brutus Abel
253,translation_rev,Alexandre Caroli
254,transcription_rev,Brutus Abel
254,transcription_rev,Jacques Peccatte
254,translation_rev,Alexandre Caroli
255,transcription_rev,Brutus Abel
255,transcription_rev,Jacques Peccatte
255,translation_rev,Brutus Abel
255,translation_rev,Alexandre Caroli
256,transcription_rev,Brutus Abel
256,transcription_rev,Jacques Peccatte
256,translation_rev,Brutus Abel
256,translation_rev,Alexandre Caroli
257,transcription_rev,Brutus Abel
257,transcription_rev,Jacques Peccatte
257,translation_rev,Alexandre Caroli
257,translation_rev,Brutus Abel
259,transcription_rev,Brutus Abel
259,transcription_rev,Charles Kempf
259,translation_rev,Alexandre Caroli
260,transcription_rev,Alexandre Caroli
260,transcription_rev,Brutus Abel
260,transcription_rev,Jacques Peccatte
260,translation_rev,Alexandre Caroli
260,translation_rev,Brutus Abel
261,transcription_rev,Brutus Abel
261,transcription_rev,Charles Kempf
261,transcription_rev,Jacques Peccatte
261,translation_rev,Brutus Abel
261,translation_rev,Alexandre Caroli
262,transcription_rev,Brutus Abel
262,transcription_rev,Jacques Peccatte
262,translation_rev,Brutus Abel
262,translation_rev,Alexandre Caroli
263,transcription_rev,Brutus Abel
263,transcription_rev,Jacques Peccatte
263,translation_rev,Brutus Abel
263,translation_rev,Alexandre Caroli
264,transcription_rev,Brutus Abel
264,transcription_rev,Jacques Peccatte
264,transcription_rev,Philippe Gilbert
264,translation_rev,Alexandre Caroli
265,transcription_rev,Brutus Abel
265,transcription_rev,Charles Kempf
265,translation_rev,Brutus Abel
265,translation_rev,Alexandre Caroli
266,transcription_rev,Brutus Abel
266,translation_rev,Brutus Abel
266,translation_rev,Alexandre Caroli
267,transcription_rev,Brutus Abel
267,transcription_rev,Charles Kempf
267,translation_rev,Alexandre Caroli
267,translation_rev,Brutus Abel
268,transcription_rev,Brutus Abel
268,transcription_rev,Jacques Peccatte
268,translation_rev,Brutus Abel
268,translation_rev,Alexandre Caroli
269,transcription_rev,Brutus Abel
269,translation_rev,Alexandre Caroli
269,translation_rev,Brutus Abel
270,transcription_rev,Brutus Abel
270,translation_rev,Alexandre Caroli
270,translation_rev,Brutus Abel
271,transcription_rev,Brutus Abel
271,translation_rev,Alexandre Caroli
271,translation_rev,Brutus Abel
272,transcription_rev,Brutus Abel
272,translation_rev,Alexandre Caroli
272,translation_rev,Brutus Abel
273,transcription_rev,Brutus Abel
273,translation_rev,Brutus Abel
273,translation_rev,Alexandre Caroli
274,transcription_rev,Brutus Abel
274,translation_rev,Brutus Abel
274,translation_rev,Alexandre Caroli
275,transcription_rev,Brutus Abel
275,translation_rev,Alexandre Caroli
275,translation_rev,Brutus Abel
276,transcription_rev,Brutus Abel
276,translation_rev,Alexandre Caroli
276,translation_rev,Brutus Abel
277,transcription_rev,Brutus Abel
277,translation_rev,Alexandre Caroli
277,translation_rev,Brutus Abel
278,transcription_rev,Brutus Abel
278,transcription_rev,Charles Kempf
278,translation_rev,Brutus Abel
278,translation_rev,Alexandre Caroli
279,transcription_rev,Brutus Abel
279,transcription_rev,Charles Kempf
279,translation_rev,Brutus Abel
279,translation_rev,Alexandre Caroli
280,transcription_rev,Charles Kempf
280,transcription_rev,Philippe Gilbert
280,translation_rev,Alexandre Caroli
281,transcription_rev,Brutus Abel
281,translation_rev,Alexandre Caroli
281,translation_rev,Brutus Abel
282,transcription_rev,Brutus Abel
282,translation_rev,Alexandre Caroli
282,translation_rev,Brutus Abel
283,transcription_rev,Brutus Abel
283,translation_rev,Alexandre Caroli
283,translation_rev,Brutus Abel
284,transcription_rev,Brutus Abel
284,translation_rev,Alexandre Caroli
284,translation_rev,Brutus Abel
285,transcription_rev,Brutus Abel
285,translation_rev,Alexandre Caroli
285,translation_rev,Brutus Abel
286,transcription_rev,Brutus Abel
286,translation_rev,Alexandre Caroli
286,translation_rev,Brutus Abel
288,transcription_rev,Brutus Abel
288,transcription_rev,Charles Kempf
288,translation_rev,Brutus Abel
288,translation_rev,Humberto Schubert Coelho
289,transcription_rev,Brutus Abel
289,transcription_rev,Charles Kempf
289,translation_rev,Brutus Abel
289,translation_rev,Humberto Schubert Coelho
290,transcription_rev,Brutus Abel
290,transcription_rev,Charles Kempf
290,translation_rev,Brutus Abel
290,translation_rev,Humberto Schubert Coelho
291,transcription_rev,Brutus Abel
291,transcription_rev,Charles Kempf
291,translation_rev,Brutus Abel
291,translation_rev,Humberto Schubert Coelho
292,transcription_rev,Brutus Abel
292,transcription_rev,Charles Kempf
292,translation_rev,Brutus Abel
292,translation_rev,Humberto Schubert Coelho
293,transcription_rev,Brutus Abel
293,transcription_rev,Charles Kempf
293,translation_rev,Brutus Abel
293,translation_rev,Humberto Schubert Coelho
294,transcription_rev,Brutus Abel
294,transcription_rev,Charles Kempf
294,translation_rev,Brutus Abel
294,translation_rev,Humberto Schubert Coelho
295,transcription_rev,Brutus Abel
295,transcription_rev,Charles Kempf
295,translation_rev,Brutus Abel
295,translation_rev,Humberto Schubert Coelho
296,transcription_rev,Charles Kempf
296,translation_rev,Humberto Schubert Coelho
298,transcription_rev,Brutus Abel
298,transcription_rev,Charles Kempf
298,translation_rev,Brutus Abel
298,translation_rev,Humberto Schubert Coelho
299,transcription_rev,Brutus Abel
299,transcription_rev,Charles Kempf
299,translation_rev,Brutus Abel
299,translation_rev,Humberto Schubert Coelho
300,transcription_rev,Charles Kempf
300,translation_rev,Brutus Abel
300,translation_rev,Humberto Schubert Coelho
30,transcription,Canuto Abreu
30,translation,Brutus Abel
31,transcription,Canuto Abreu
31,translation,Canuto Abreu
32,transcription,Canuto Abreu
32,translation,Brutus Abel
33,transcription,Canuto Abreu
33,translation,Brutus Abel
34,transcription,Canuto Abreu
34,translation,Brutus Abel
35,transcription,Canuto Abreu
35,translation,Brutus Abel
36,transcription,Canuto Abreu
36,translation,Brutus Abel
37,transcription,Canuto Abreu
37,translation,Brutus Abel
38,transcription,Canuto Abreu
38,translation,Brutus Abel
39,edition,Brutus Abel
39,transcription,Canuto Abreu
39,translation,Brutus Abel
40,transcription,Canuto Abreu
40,translation,Brutus Abel
41,transcription,Brutus Abel
41,transcription,Canuto Abreu
41,translation,Brutus Abel
42,transcription,Canuto Abreu
42,translation,Brutus Abel
43,transcription,Canuto Abreu
43,translation,Brutus Abel
